Country,UniversityName,Campus,CourseType,ProgramTitle,ApplicationFee,Currency,Amount,DiscountedValue,CourseFee,InTake,Duration,EnglishlanguageTest,TextBox,UniversityInterview,GreGmatRequirement,Score,AcademicRequirement,Commission
UK,Ravensboure University,"London,Greater London",PG,Master of Arts - Luxury Brand Management,£0.00 GBP,GBP,5000,5%,"£17,500.00 GBP / Year",Fall,4-Year Bachelor's Degree-70%,Yes,IELTS/TOEFL/PTE,Yes,Yes,70%,"4-Year Bachelor's Degree-70%,IELTS-6.0,TOEFL-72,PTE-50",70%
USA,Cleveland State University,"Cleveland,Ohio",UG,International Direct - Bachelor of Business Administration - Accounting,$0.00 USD,USD,5000,5%,"$18,883.00 USD / Year",Fall,Grade 12 / High School-62.5%,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Grade 12 / High School-62.5%,IELTS-6.0,TOEFL-78,PTE-50,DUOLINGO-1pp",70%
USA,Cleveland State University,"Cleveland,Ohio",UG,International Direct - Bachelor of Arts - Criminology,$0.00 USD,USD,5000,5%,"$20,270.00 USD / Year",Fall,4 year bachelor's degree including an optional internship,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Grade 12 / High School-62.5%,IELTS-6.0,TOEFL-78,PTE-50,DUOLINGO-100",70%
USA,Cleveland State University,"Cleveland,Ohio",PG,Graduate Direct - Master of Computer Science,$0.00 USD,USD,5000,5%,"$21,100.00 USD / Year",Fall,2 year master's degree including an optional internship,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,75%,"4-Year Bachelor's Degree-75%,IELTS-6.0,TOEFL-78,PTE-50,DUOLINGO-100",70%
USA,Cleveland State University,"Cleveland,Ohio",PG,Graduate Direct - Master of Science - Software Engineering,$0.00 USD,USD,5000,5%,"$21,100.00 USD / Year",Fall,2 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,75%,"4-Year Bachelor's Degree-75%,IELTS-6.0,TOEFL-78,PTE-50,DUOLINGO-100",70%
USA,Cleveland State University,"Cleveland,Ohio",PG,Graduate Direct - Master of Science - Civil Engineering - Structures and Foundations,$0.00 USD,USD,5000,5%,"$21,100.00 USD / Year",Fall,2 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"4-Year Bachelor's Degree-75%,IELTS-6.0,TOEFL-78,PTE-50,DUOLINGO-100",70%
USA,Atlantis University,"Miami,Florida",UG,Bachelor of Science - Business Administration - Business Intelligence and Analytics,$50.00 USD,USD,5000,5%,"$14,408.00 USD / Year",Fall,4-Year Bachelor's Degree,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,60%,"Grade 12 / High School-60%,IELTS-6.0,TOEFL-70,DUOLINGO-100",70%
USA,Atlantis University,"Miami,Florida",UG,Bachelor of Science - Computer Engineering,$50.00 USD,USD,5000,5%,"$14,408.00 USD / Year",Fall,4-Year Bachelor's Degree,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,60%,"Grade 12 / High School-60%,IELTS-6.0,TOEFL-70,DUOLINGO-100",70%
USA,Atlantis University,"Miami,Florida",PG,Master of Science - Healthcare Management,$50.00 USD,USD,5000,5%,"$16,146.00 USD / Year",Fall,20 month master's degree,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,63%,"4-Year Bachelor's Degree-63%,IELTS-6.0,TOEFL-70,DUOLINGO-100",70%
USA,Atlantis University,"Miami,Florida",PG,Master of Science - Business Administration - Digital Marketing,$0.00 USD,USD,5000,5%,"$20,183.00 USD / Year",Fall,2 year master's degree,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,63%,"4-Year Bachelor's Degree-63%,IELTS-6.0,TOEFL-70,DUOLINGO-100",70%
USA,Atlantis University,"Miami,Florida",PG,Master of Science - Business Administration - Information Technology,$0.00 USD,USD,5000,5%,"$20,183.00 USD / Year",Fall,2 year master's degree,Yes,IELTS/TOEFL/DUOLINGO,Yes,Yes,63%,"4-Year Bachelor's Degree-63%,IELTS-6.0,TOEFL-70,DUOLINGO-100",70%
Ireland,University College Cork,"Cork,Country of cork",UG,Bachelor of Arts (Honours) - Anthropology (CK123),€50.00 EUR,EUR,5000,5%,"€17,000.00 EUR / Year",Fall,3 year bachelor's degree plus an optional work placement,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Grade 12 / High School-70%,IELTS-6.5,TOEFL-90,PTE-63,DUOLINGO-120",70%
Ireland,University College Cork,"Cork,Country of cork",UG,Bachelor of Arts (Honours) - Criminology (CK113),€50.00 EUR,EUR,5000,5%,"€17,000.00 EUR / Year",Fall,3-4 year bachelor's degree including an optional year abroad,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Grade 12 / High School-70%,IELTS-6.5,TOEFL-90,PTE-63,DUOLINGO-120",70%
Ireland,University College Cork,"Cork,Country of cork",PG,Master of Accounting - Accounting,€50.00 EUR,EUR,5000,5%,"€19,300.00 EUR / Year",Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,78%,"4-Year Bachelor's Degree-78%,IELTS-6.5,TOEFL-90,PTE-63,DUOLINGO-120",70%
Ireland,University College Cork,"Cork,Country of cork",PG,Master of Science - Business Economics,€50.00 EUR,EUR,5000,5%,"€19,300.00 EUR / Year",Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,77%,"4-Year Bachelor's Degree-77%,IELTS-6.5,TOEFL-90,PTE-63,DUOLINGO-120",70%
Ireland,University College Cork,"Cork,Country of cork",PG,Master of Science - Business Analytics,€50.00 EUR,EUR,5000,5%,"€19,300.00 EUR / Year",Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,77%,"4-Year Bachelor's Degree-77%,IELTS-6.5,TOEFL-90,PTE-63,DUOLINGO-120",70%
Australia,Central Queensland University,Mackay,UG,BACHELOR OF MUSIC - CG51 069478C,150 AUD,AUD,5000,5%,£ 31200,Fall,3 years - Bachelors,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,65%,"Academic Requirement:65%-UG, 65%-PG",70%
Australia,Central Queensland University,Mackay,UG,BACHELOR OF OCCUPATIONAL THERAPY (HONOURS) - CB84 075754D,150 AUD,AUD,5000,5%,£ 35280,Fall,3 years - Bachelors,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,65%,"Academic Requirement:65%-UG, 65%-PG",70%
Australia,Central Queensland University,Mackay,PG,MASTER OF PROFESSIONAL ACCOUNTING - CC57 084507M,150 AUD,AUD,5000,5%,£ 33990,Fall,2 years - Masters Programs,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,65%,"Academic Requirement:65%-UG, 65%-PG",70%
Australia,Central Queensland University,Mackay,PG,MASTER OF PROJECT MANAGEMENT - CV84 088198J (Hospital and Health Services Management),150 AUD,AUD,5000,5%,£ 31680,Fall,2 years - Masters Programs,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,65%,"Academic Requirement:65%-UG, 65%-PG",70%
Australia,Central Queensland University,Mackay,PG,MASTER OF ENGINEERING - CV82 088196M (Electrical),150 AUD,AUD,5000,5%,£ 35520,Fall,2 years - Masters Programs,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,65%,"Academic Requirement:65%-UG, 65%-PG",70%
Newzealand,University of Waikato,Waikato,UG,BA Bachelor of Arts,0,NZD,5000,5%,£ 19950,Fall,3 years - Bachelors,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Academic Requirement: 70% UG, PG: 70%",70%
Newzealand,University of Waikato,Waikato,UG,BBus Bachelor of Business,0,NZD,5000,5%,£ 19950,Fall,3 years - Bachelors,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Academic Requirement: 70% UG, PG: 70%",70%
Newzealand,University of Waikato,Waikato,PG,MBA Master of Business Administration,0,NZD,5000,5%,£ 19950,Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Academic Requirement: 70% UG, PG: 70%",70%
Newzealand,University of Waikato,Waikato,PG,MA Master of Arts,0,NZD,5000,5%,£ 19950,Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Academic Requirement: 70% UG, PG: 70%",70%
Newzealand,University of Waikato,Waikato,PG,Master of Cyber Security,0,NZD,5000,5%,£ 19950,Fall,1 year master's degree,Yes,IELTS/TOEFL/PTE/DUOLINGO,Yes,Yes,70%,"Academic Requirement: 70% UG, PG: 70%",70%
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
